Name,X (mm),Y (mm),Z (mm),Rx (deg),Ry (deg),Rz (deg),Approach,Joints
Name,X (mm),Y (mm),Z (mm),Rx (deg),Ry (deg),Rz (deg),Approach,Joints
Default,0.0,0.0,0.0,0.0,0.0,0.0,false,
gripper,97.866,495.661,-303.991,175.75910000000002,0.21090000000000003,4.0976,false,"81402.0,34164.0,-110310.0,1455.0,-49502.0,-44301.0,0.0,0.0"
gripper,97.624,506.759,-154.399,175.75880000000004,0.2105,4.095100000000001,true,"81646.0,22966.0,-101688.0,1099.0,-71744.0,-44160.0,0.0,0.0"
vacuum,-131.482,520.08,-305.383,179.7743,2.5011000000000005,88.0097,false,"106344.0,35809.0,-107129.0,-786.0,-49278.0,-8893.0,0.0,0.0"
vacuum,-131.845,526.642,-155.527,179.7743,2.5011000000000005,88.0096,true,"106216.0,24586.0,-99267.0,-601.0,-70696.0,-8967.0,0.0,0.0"
shared_near_fanuc,631.197,-600.938,-257.396,178.9777,4.9291,90.7072,false,"-43318.0,64072.0,-41779.0,3498.0,-83360.0,76737.0,0.0,0.0"
shared_near_fanuc,628.361,-588.085,-107.974,178.9777,4.9291,90.7072,true,"-42783.0,58836.0,-31306.0,3382.0,-100995.0,76901.0,0.0,0.0"
vac_fanuc,301.318,-611.877,-257.007,178.9151,1.199,90.6843,false,"-65586.0,42487.0,-84800.0,-666.0,-62228.0,89986.0,0.0,0.0"
vac_fanuc,298.44,-608.772,-107.066,178.915,1.1990000000000003,90.68419999999999,true,"-65694.0,33968.0,-76635.0,-576.0,-80950.0,89948.0,0.0,0.0"
